dataset,scenario,method,round,mean_oui,var_oui,beta_alpha,beta_beta,score_mode
cifar10,cifar10_dirichlet_0.1,fedoui,13,0.1558268229166666,0.0017541011174519,5.814188485136634,30.73417866513908,beta
cifar10,cifar10_dirichlet_0.1,fedoui,14,0.16279296875,0.0011073907216389,13.71076430562119,77.87320600720398,beta
cifar10,cifar10_dirichlet_0.1,fedoui,15,0.14072265625,0.0037315607070922,4.535539214825039,21.556551549112264,beta
cifar10,cifar10_dirichlet_0.1,fedoui,16,0.1717122395833333,0.008475923538208,4.609085396863384,17.887117874767245,beta
cifar10,cifar10_dirichlet_0.1,fedoui,17,0.1646484375,0.0040349165598551,2.9855515478354104,16.73835029076756,beta
cifar10,cifar10_dirichlet_0.1,fedoui,18,0.20517578125,0.005959407488505,5.096196345837771,23.28066639553187,beta
cifar10,cifar10_dirichlet_0.1,fedoui,19,0.2294921875,0.0046843608220418,999.6701025791028,2618.789370877954,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,0,0.1375651041666666,0.0118636131286621,0.9048803263366468,6.07776816024004,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,1,0.1676106770833333,0.0034814039866129,17.118363740655273,95.10445617247532,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,2,0.18330078125,0.0018844207127888,15.573345399960871,84.72291679852928,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,3,0.1520833333333333,0.0033425331115722,2.5720144058008216,16.513077996663245,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,4,0.2145182291666666,0.0091607809066772,9.414383119775817,46.60146995779789,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,5,0.2138346354166666,0.0049435536066691,6.1318736911243965,30.20515558961277,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,6,0.20166015625,0.0043416341145833,5.678043201593002,29.221814171943816,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,7,0.1826822916666667,0.0065452575683593,5.7344113210982215,27.01537781891616,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,8,0.1694986979166667,0.0036569277445475,3.760771285200656,15.53296516793297,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,9,0.15927734375,0.0057743469874064,5.7896264385439,28.7591933345852,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,10,0.1700520833333333,0.0126378218332926,3.0962347033351456,23.636854134904222,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,11,0.2425455729166666,0.0052252054214477,2.894487865205639,13.608605531067049,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,12,0.2286458333333333,0.0151286681493123,0.7762721493750889,4.170228665560139,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,13,0.2381510416666666,0.0036251783370971,8.974443426279569,54.0559411314041,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,14,0.2377604166666666,0.006065821647644,2.739110284264685,26.02857106021775,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,15,0.2414713541666666,0.0051355361938476,2.16981304023121,9.396499053453116,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,16,0.2486328125,0.011068042119344,3.341533823263356,8.883298742015945,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,17,0.2154622395833333,0.0061704079310099,2.172093550412665,8.899204586085938,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,18,0.2241536458333333,0.0062364816665649,5.016190841657621,14.381767700099948,beta
cifar10,cifar10_dirichlet_0.1,fedoui_align,19,0.2488281249999999,0.0050202051798502,112.99319621287042,218.72994863225367,beta
cifar10,cifar10_dirichlet_0.1,fedprox,0,0.1376627604166666,0.0118415832519531,,,
cifar10,cifar10_dirichlet_0.1,fedprox,1,0.119140625,0.001074465115865,,,
cifar10,cifar10_dirichlet_0.1,fedprox,2,0.1431966145833333,0.0015241940816243,,,
cifar10,cifar10_dirichlet_0.1,fedprox,3,0.1129557291666666,0.0020994265874226,,,
cifar10,cifar10_dirichlet_0.1,fedprox,4,0.1233072916666666,0.0008525371551513,,,
cifar10,cifar10_dirichlet_0.1,fedprox,5,0.1428710937499999,0.0006637175877888,,,
cifar10,cifar10_dirichlet_0.1,fedprox,6,0.1562825520833333,0.002414846420288,,,
cifar10,cifar10_dirichlet_0.1,fedprox,7,0.1664713541666666,0.004638393719991,,,
cifar10,cifar10_dirichlet_0.1,fedprox,8,0.1812174479166667,0.0037585814793904,,,
cifar10,cifar10_dirichlet_0.1,fedprox,9,0.1770507812499999,0.0056060234705607,,,
cifar10,cifar10_dirichlet_0.1,fedprox,10,0.1452799479166666,0.0025199254353841,,,
cifar10,cifar10_dirichlet_0.1,fedprox,11,0.1857421875,0.0044205824534098,,,
cifar10,cifar10_dirichlet_0.1,fedprox,12,0.1854817708333333,0.0048393170038859,,,
cifar10,cifar10_dirichlet_0.1,fedprox,13,0.2123046875,0.0027635335922241,,,
cifar10,cifar10_dirichlet_0.1,fedprox,14,0.18662109375,0.002705446879069,,,
cifar10,cifar10_dirichlet_0.1,fedprox,15,0.1492838541666666,0.0037586291631062,,,
cifar10,cifar10_dirichlet_0.1,fedprox,16,0.1769205729166666,0.0067074060440063,,,
cifar10,cifar10_dirichlet_0.1,fedprox,17,0.1792643229166667,0.0058577458063761,,,
cifar10,cifar10_dirichlet_0.1,fedprox,18,0.18935546875,0.0049867153167724,,,
cifar10,cifar10_dirichlet_0.1,fedprox,19,0.2107421874999999,0.0112018982569376,,,
cifar10,cifar10_dirichlet_0.1_extended,fedalign,0,0.1375651041666666,0.0118636131286621,,,none
cifar10,cifar10_dirichlet_0.1_extended,fedalign,1,0.1918294270833333,0.0040916999181111,,,none
